Hz,175n,175m,175S,175Son
76.0,7.232465e-10,6.698638e-10,8.332661e-10,6.737113e-10
76.5,6.429288e-10,6.56969e-10,7.778161e-10,7.282905e-10
77.0,6.172645e-10,5.820957e-10,6.991752e-10,7.261557e-10
77.5,7.239961e-10,5.994224e-10,7.169576e-10,6.75854e-10
78.0,6.678283e-10,6.400781e-10,7.127028e-10,6.825289e-10
78.5,5.623961e-10,5.704348e-10,6.506866e-10,7.239473e-10
79.0,6.074536e-10,6.410819e-10,6.988413e-10,7.4143e-10
79.5,7.104913e-10,7.019604e-10,7.035899e-10,6.215197e-10
80.0,6.838403e-10,6.374958e-10,7.019072e-10,5.719108e-10
80.5,6.654363e-10,5.61133e-10,6.329151e-10,5.93904e-10
81.0,6.522015e-10,5.98846e-10,6.514995e-10,6.411323e-10
81.5,7.275706e-10,6.173373e-10,7.012415e-10,5.974456e-10
82.0,6.70171e-10,5.997173e-10,6.95124e-10,6.77052e-10
82.5,6.878156e-10,6.247382e-10,6.454629e-10,7.446729e-10
83.0,6.368569e-10,6.732397e-10,6.787997e-10,6.999643e-10
83.5,5.933197e-10,6.492353e-10,6.049751e-10,6.271701e-10
84.0,6.242004e-10,6.17025e-10,6.327959e-10,5.962003e-10
84.5,5.886352e-10,5.257663e-10,6.472515e-10,6.140504e-10
85.0,5.890892e-10,6.057417e-10,5.864071e-10,6.194371e-10
85.5,6.250457e-10,5.426435e-10,5.549293e-10,5.692e-10
86.0,5.388768e-10,5.47512e-10,6.185482e-10,6.11234e-10
86.5,5.320304e-10,5.18379e-10,7.121958e-10,6.896902e-10
87.0,7.079599e-10,5.249762e-10,7.084414e-10,6.217235e-10
87.5,7.272009e-10,6.941865e-10,6.768239e-10,6.138225e-10
88.0,5.92202e-10,6.329141e-10,6.202271e-10,5.746028e-10
88.5,5.925512e-10,5.079134e-10,5.286153e-10,5.354889e-10
89.0,4.901973e-10,5.421661e-10,5.914383e-10,5.910488e-10
89.5,4.83366e-10,5.292023e-10,6.378987e-10,5.23648e-10
