Hz,113NE,113NW,113SW,113M,113SE
83.5,7.970715e-10,5.605945e-10,6.735988e-10,6.722565e-10,6.458243e-10
84.0,7.761861e-10,5.648092e-10,6.992694e-10,5.971622e-10,7.001832e-10
84.5,5.332321e-10,5.319069e-10,6.234279e-10,6.026649e-10,6.266931e-10
85.0,5.535405e-10,5.513353e-10,6.082473e-10,5.015283e-10,5.72892e-10
85.5,6.060246e-10,5.356091e-10,7.396329e-10,5.135991e-10,6.120627e-10
86.0,5.874405e-10,5.737568e-10,7.600295e-10,4.912068e-10,6.330508e-10
86.5,6.292986e-10,5.354949e-10,6.907393e-10,5.2434e-10,6.095333e-10
87.0,7.292488e-10,5.537629e-10,6.01021e-10,6.043648e-10,5.29254e-10
87.5,6.369421e-10,5.792462e-10,6.027971e-10,6.273504e-10,5.608193e-10
88.0,5.923048e-10,5.570824e-10,5.601635e-10,5.921015e-10,5.536518e-10
88.5,5.801727e-10,5.588769e-10,6.175463e-10,6.14681e-10,5.644699e-10
89.0,5.376993e-10,4.487569e-10,6.447879e-10,5.716844e-10,7.17694e-10
89.5,4.60734e-10,5.344294e-10,5.729696e-10,5.432864e-10,7.138268e-10
90.0,5.337101e-10,6.262122e-10,5.846698e-10,5.240208e-10,7.100931e-10
90.5,5.455331e-10,6.711887e-10,6.04642e-10,5.570899e-10,7.088099e-10
91.0,6.311695e-10,5.94375e-10,5.904023e-10,5.173408e-10,6.134486e-10
91.5,5.734356e-10,5.478192e-10,5.116786e-10,5.259949e-10,5.006512e-10
92.0,4.947151e-10,5.167275e-10,4.615403e-10,5.480487e-10,5.566047e-10
92.5,5.508528e-10,5.127675e-10,4.887039e-10,5.736298e-10,5.694937e-10
93.0,6.047633e-10,5.069005e-10,5.470314e-10,5.096287e-10,5.596175e-10
93.5,5.836006e-10,5.047026e-10,5.24673e-10,5.358343e-10,6.141297e-10
94.0,5.313023e-10,5.584935e-10,4.918706e-10,5.240504e-10,5.70662e-10
94.5,4.924236e-10,5.877193e-10,5.171812e-10,5.486672e-10,5.482459e-10
95.0,4.605441e-10,6.097901e-10,5.560075e-10,5.701371e-10,5.195791e-10
95.5,5.020604e-10,6.077706e-10,5.192103e-10,5.189274e-10,4.874302e-10
96.0,4.793833e-10,5.853194e-10,5.382159e-10,5.601051e-10,4.915053e-10
96.5,5.059399e-10,4.76542e-10,4.992106e-10,5.818069e-10,4.464139e-10
97.0,5.496425e-10,4.387075e-10,5.345323e-10,4.965369e-10,4.75262e-10
97.5,5.382932e-10,4.985192e-10,5.152444e-10,4.759074e-10,4.956023e-10
98.0,5.060848e-10,5.255442e-10,4.348875e-10,4.644476e-10,5.332533e-10
98.5,5.302627e-10,4.640513e-10,4.899445e-10,4.533728e-10,5.094282e-10
99.0,5.136833e-10,4.206007e-10,4.586358e-10,4.585597e-10,4.940366e-10
99.5,4.392076e-10,4.773014e-10,3.76149e-10,4.481597e-10,5.212428e-10
100.0,4.424157e-10,5.765629e-10,4.083823e-10,5.089055e-10,5.618581e-10
100.5,4.876237e-10,5.546852e-10,5.268881e-10,5.068334e-10,5.153105e-10
101.0,4.80786e-10,4.971367e-10,4.903346e-10,4.852629e-10,5.160898e-10
101.5,5.565737e-10,4.333915e-10,4.043554e-10,4.465582e-10,4.57661e-10
102.0,4.935752e-10,4.506696e-10,4.190425e-10,4.441933e-10,4.512742e-10
102.5,3.994232e-10,4.890154e-10,4.49898e-10,4.722603e-10,4.611692e-10
103.0,3.678462e-10,4.985931e-10,4.453947e-10,4.670699e-10,4.939278e-10
103.5,4.636436e-10,4.699839e-10,4.765381e-10,5.09449e-10,4.942576e-10
104.0,4.704991e-10,4.174541e-10,4.674391e-10,4.994053e-10,4.972907e-10
104.5,4.570585e-10,4.611803e-10,4.412572e-10,4.858764e-10,4.84951e-10
105.0,4.80293e-10,4.476617e-10,4.874628e-10,5.092866e-10,4.975961e-10
105.5,4.735232e-10,4.72096e-10,5.132634e-10,4.75373e-10,4.991252e-10
106.0,4.465334e-10,4.595837e-10,4.73016e-10,4.502182e-10,4.522462e-10
106.5,4.719272e-10,4.802666e-10,4.504139e-10,4.012862e-10,5.08944e-10
107.0,4.873291e-10,5.043682e-10,4.196391e-10,4.305292e-10,4.805391e-10
107.5,4.906371e-10,5.377394e-10,4.301624e-10,4.044856e-10,4.4032e-10
108.0,4.784525e-10,5.096669e-10,4.489165e-10,3.899339e-10,4.370575e-10
108.5,3.967293e-10,5.130182e-10,4.696537e-10,4.086685e-10,4.15677e-10
109.0,4.378874e-10,4.683953e-10,4.560014e-10,4.478361e-10,5.054974e-10
109.5,4.027191e-10,4.481165e-10,4.386845e-10,5.218785e-10,5.066365e-10
110.0,4.005693e-10,4.143428e-10,4.089902e-10,4.770296e-10,4.432975e-10
110.5,4.03037e-10,4.459251e-10,4.113856e-10,4.43966e-10,4.739746e-10
111.0,3.771122e-10,4.547114e-10,3.910279e-10,4.116755e-10,4.58385e-10
111.5,4.371971e-10,3.960758e-10,3.830405e-10,4.118694e-10,4.429981e-10
112.0,4.514473e-10,4.625544e-10,4.000665e-10,4.080676e-10,4.329303e-10
112.5,5.009078e-10,4.593596e-10,4.262543e-10,4.414261e-10,3.651501e-10
113.0,4.638596e-10,3.319276e-10,4.370808e-10,4.763949e-10,3.723231e-10
