Hz,173N,173m,73mFOn,173S,173nfo
136.0,3.242018e-10,3.149951e-10,3.222047e-10,3.467655e-10,5.581823e-10
136.5,3.296217e-10,3.080851e-10,3.349753e-10,3.628981e-10,5.043659e-10
137.0,3.080131e-10,2.961711e-10,3.264707e-10,3.647708e-10,4.695533e-10
137.5,3.182201e-10,3.190533e-10,3.622383e-10,3.899322e-10,4.563184e-10
138.0,2.916964e-10,3.138467e-10,3.512369e-10,3.640754e-10,4.164165e-10
138.5,2.929112e-10,3.287038e-10,3.151618e-10,3.615527e-10,4.067972e-10
139.0,3.109562e-10,3.19471e-10,3.10976e-10,3.200346e-10,4.24586e-10
139.5,3.340115e-10,3.14598e-10,2.958004e-10,3.314114e-10,3.770468e-10
140.0,3.398011e-10,2.753603e-10,3.097805e-10,3.309943e-10,3.885831e-10
140.5,3.169584e-10,2.716708e-10,3.633208e-10,3.340969e-10,3.653396e-10
141.0,2.891557e-10,2.600538e-10,3.027441e-10,3.275592e-10,3.625051e-10
141.5,2.775315e-10,3.281418e-10,2.431349e-10,2.788088e-10,3.29347e-10
142.0,3.070621e-10,3.541731e-10,3.083752e-10,2.726411e-10,3.6219e-10
142.5,2.9793e-10,3.626371e-10,2.688875e-10,3.235338e-10,3.652436e-10
143.0,3.218931e-10,3.624447e-10,3.144239e-10,3.159558e-10,3.227689e-10
143.5,3.223937e-10,3.272239e-10,2.937637e-10,3.390742e-10,3.047635e-10
144.0,3.155284e-10,3.017891e-10,2.719442e-10,3.196656e-10,3.008732e-10
144.5,3.12091e-10,2.930731e-10,2.731538e-10,2.981627e-10,3.368233e-10
145.0,2.859545e-10,2.753832e-10,3.084375e-10,3.128452e-10,3.538593e-10
145.5,2.775813e-10,3.082981e-10,3.004605e-10,3.102432e-10,2.790098e-10
146.0,3.189095e-10,2.794524e-10,3.444736e-10,3.119322e-10,2.770421e-10
146.5,2.843472e-10,2.708038e-10,3.117268e-10,3.316896e-10,2.819807e-10
147.0,3.540459e-10,2.779079e-10,2.799857e-10,3.032714e-10,2.680578e-10
147.5,3.35056e-10,2.946964e-10,3.098586e-10,3.031088e-10,2.71116e-10
148.0,2.845747e-10,2.809992e-10,3.152509e-10,3.188841e-10,3.060948e-10
148.5,3.255063e-10,2.527398e-10,2.8139e-10,2.955129e-10,3.033437e-10
149.0,3.27442e-10,2.341063e-10,3.20537e-10,2.970432e-10,2.505983e-10
149.5,2.994165e-10,2.951544e-10,3.211243e-10,2.86307e-10,2.415599e-10
150.0,2.724629e-10,2.838575e-10,2.804028e-10,3.229762e-10,2.56986e-10
150.5,2.769384e-10,2.498512e-10,2.882649e-10,3.069733e-10,2.749986e-10
151.0,2.94168e-10,2.465705e-10,3.030421e-10,2.771708e-10,2.613457e-10
151.5,2.815101e-10,2.36578e-10,2.851953e-10,2.629648e-10,2.733077e-10
152.0,2.547069e-10,2.91956e-10,2.500724e-10,2.376175e-10,2.860674e-10
152.5,2.66766e-10,2.759212e-10,2.819825e-10,2.528016e-10,3.291181e-10
153.0,2.647229e-10,2.664939e-10,2.793838e-10,2.324876e-10,2.835339e-10
153.5,2.467624e-10,2.589006e-10,2.638433e-10,2.532477e-10,2.570089e-10
154.0,2.260035e-10,2.432005e-10,2.497613e-10,2.572078e-10,2.733138e-10
154.5,2.388399e-10,2.47563e-10,2.309511e-10,2.45102e-10,2.64736e-10
155.0,2.681443e-10,2.968396e-10,2.315278e-10,2.557385e-10,2.706206e-10
155.5,2.916625e-10,3.064125e-10,2.428119e-10,2.611742e-10,2.656464e-10
156.0,2.952628e-10,2.775948e-10,2.713898e-10,2.464543e-10,2.422257e-10
156.5,2.743574e-10,2.885949e-10,2.725134e-10,2.606997e-10,2.742119e-10
157.0,2.833681e-10,2.659554e-10,2.386131e-10,2.681667e-10,2.64114e-10
157.5,2.887228e-10,2.438512e-10,2.171023e-10,2.546231e-10,2.736623e-10
